,negative,positive,neutral,total
ca not,48.7722787344209,4.915276855034633,6.219127159641564,59.9066827490971
great,11.082005610294456,45.480645306047165,2.6999802393294745,59.2626311556711
change,39.37179387514932,3.9210040801505612,14.898411379019484,58.19120933431937
phone,47.061494170899664,3.083253410008019,7.079851757704242,57.224599338611924
know,30.83994889914677,9.698034484685431,16.564338292075398,57.102321675907596
today,32.815006388408534,11.75637808291118,12.51451879370213,57.08590326502185
after,45.1240244999928,4.721365575181543,6.160750686981548,56.006140762155894
work,37.358729273822846,11.513123113154162,6.6901507748279165,55.562003161804924
agent,45.637775006599355,7.426441411660555,1.916560445641012,54.98077686390092
ticket,32.11513659686372,5.066858972331186,16.033878951104022,53.21587452029893
miss,43.55728500597837,3.4271667849021004,5.10397713129757,52.08842892217804
way,28.91218249094349,7.59634633855418,15.276776323846398,51.78530515334407
check,32.50176186359855,5.380560350493143,13.793981595566466,51.67630380965816
late,45.488542230092776,2.510815593300057,3.481175777994382,51.480533601387215
over,44.047920238882085,3.144626615129196,3.938624821917898,51.13117167592918
airport,33.93778372178125,5.749447853629662,10.695695586034592,50.38292716144551
give,35.94201742568232,5.294652548486448,8.911159034405722,50.14782900857449
well,32.181672077781215,13.058198066804563,4.684813410763041,49.92468355534882
yes,24.130108074800706,10.143254535473737,15.396875895707005,49.67023850598145
see,22.348508787911765,13.375135299826695,13.321467368060757,49.04511145579922
really,36.774521362395724,7.483953276798945,3.998660545540934,48.2571351847356
never,40.84749561686852,4.673094926129643,2.555435696402445,48.07602623940061
book,31.810853416632526,3.1012741596014544,12.837302525502247,47.74943010173622
good,19.98332799777742,19.842051407209727,7.7920354080792,47.61741481306635
love,9.959216301832678,29.96342476214975,7.548794074174128,47.47143513815655
could,32.72809853220699,4.300645487778015,10.310450978593638,47.33919499857864
lose,43.1701884332803,2.128553590425372,1.763514682008392,47.06225670571406
minute,42.0991857463612,1.9550033450006292,2.5758565129946938,46.630045604356525
follow,10.192779628902986,10.876326080747525,25.258213694938856,46.32731940458937
much,15.957121233800786,24.63728310946945,5.05561151553494,45.650015858805176
tomorrow,22.79922668550867,3.7186864157694526,17.848094352250715,44.36600745352884
travel,26.430887691724706,5.423955143937002,12.12507662155611,43.97991945721782
home,28.254251108491808,8.678110114773185,6.910477182704098,43.84283840596909
want,30.051351609509148,3.9576726696270432,9.772451293760806,43.781475572896994
even,34.51785884632824,5.022083751667694,3.9751579389486547,43.51510053694459
sent,15.41218850455659,8.77151882056227,19.02632616592204,43.2100334910409
weather,28.425708444658902,4.66167100687297,9.601257003028289,42.68863645456016
flek,6.940511655435366,3.0288822419212957,32.55589375179156,42.52528764914822
email,28.815221218415758,1.7423738461551852,11.90860869629843,42.46620376086938
people,33.87253940802982,3.7607293187498563,4.4802510077002955,42.11351973447997
fleet,6.83448736023265,3.0238786214542284,31.886906669566027,41.745272651252904
let,30.039790598957282,4.904269491047778,6.745160105261035,41.689220195266095
min,37.7149330698192,1.4501112043280573,2.4873265009859766,41.65237077513324
off,30.541453767004317,5.4460944558871835,5.56468465166213,41.552232874553624
fleet flek,6.50122866546022,3.033932845427341,31.992928815822477,41.528090326710036
look,21.604860854161856,8.152482564030224,11.501676783609904,41.25902020180198
luggage,37.110011227796505,0.9836932395794669,2.482138704767876,40.57584317214385
new,20.040927805799612,7.8245218902361575,12.400158649146299,40.265608345182066
another,30.713152947621634,5.140107658840554,4.379132202607501,40.23239280906969
united,29.63077413585076,4.9933044242570315,5.583660209966981,40.20773877007477
